user_id,experiment_id,variant,assigned_at,bucketing_method,affected_by_srm_bug,had_posted_pre_test,platform,att_status
exu_b0bbc9b4b7754fb4,reels_density_q2_2026,control,2026-04-01,server_hash,no,true,android,
exu_a44d1878a98a4780,reels_density_q2_2026,control,2026-04-01,server_hash,False,True,android,
exu_9845efaa149848ba,reels_density_q2_2026,treatment,2026-04-01,server_hash,no,True,android,not_applicable
exu_58847b61897647ff,reels_density_q2_2026,control,2026-04-01,server_hash,False,1,android,
exu_8b19511d82154a77,reels_density_q2_2026, control  ,2026-04-01,server_hash,FALSE,TRUE,android,not_applicable
exu_ff6df04632154aba,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,True,android,not_applicable
exu_c9b833166027423c,reels_density_q2_2026,treatment,2026-04-01,server_hash,no,True,android,not_applicable
exu_d78348d620174f80,reels_density_q2_2026,treatment,2026-04-01,server_hash,FALSE,TRUE,android,not_applicable
exu_99659d4b69924817,reels_density_q2_2026,treatment,2026-04-01,session_hash_fallback,yes,True,android,not_applicable
exu_acfb998043124fe0,reels_density_q2_2026,treatment,2026-04-01,server_hash,false,True,ios,granted
exu_9ff8c006b1d84c92,reels_density_q2_2026,control,2026-04-01,server_hash,0,yes,ios,granted
exu_ed45f25132df4bae,reels_density_q2_2026,treatment,2026-04-01,server_hash,FALSE,True,android,
exu_6e6b2e78154c4c73,reels_density_q2_2026,treatment,2026-04-01,server_hash,false,true,ios,granted
exu_5a5665102d964d9f,reels_density_q2_2026,control,2026-04-01,server_hash,FALSE,True,android,
exu_277d69b14a444b7a,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,Y,ios,granted
exu_0d435cf52ccf46fd,reels_density_q2_2026,Control,2026-04-01,server_hash,False,TRUE,android,not_applicable
exu_9fc33f0dc5a2411e,reels_density_q2_2026,treatment,2026-04-01,server_hash,N,TRUE,ios,granted
exu_1051948158ea414a,reels_density_q2_2026,treatment,2026-04-01,server_hash,false,false,android,
exu_0344c28b21c34178,reels_density_q2_2026,treatment,2026-04-01,server_hash,no,False,ios,granted
exu_aab52b0f0c6d4224,reels_density_q2_2026,control,2026-04-01,server_hash,N,True,android,not_applicable
exu_35822046d6804090,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,TRUE,android,not_applicable
exu_9bc7887e31f04be2,reels_density_q2_2026,treatment,2026-04-01,server_hash,FALSE,Y,ios,granted
exu_7821bbac009c45dd,reels_density_q2_2026,Control,2026-04-01,server_hash,False,true,ios,granted
exu_0b3c341e15f643ae,reels_density_q2_2026,treatment,2026-04-01,server_hash,N,false,android,
exu_43717dc525d6474b,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,TRUE,ios,granted
exu_e5bcf1542a334379,reels_density_q2_2026,control,2026-04-01,server_hash,N,True,ios,granted
exu_fcc9a2c9fb3646c9,reels_density_q2_2026,control,2026-04-01,server_hash,False,1,android,
exu_b9d384f648d6415e,reels_density_q2_2026,control,2026-04-01,server_hash,0,True,android,not_applicable
exu_188865a88e604508,reels_density_q2_2026,control,2026-04-01,server_hash,0,True,ios,granted
exu_dd5e348889c245e4,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,no,android,
exu_55002f13306a4066,reels_density_q2_2026,control,2026-04-01,server_hash,false,False,android,
exu_d3d69a2e5f97400b,reels_density_q2_2026,control,2026-04-01,server_hash,False,yes,ios,granted
exu_df35ffc829c94f03,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,N,ios,granted
exu_9cb97abf8dcf4583,reels_density_q2_2026,Treatment,2026-04-01,server_hash,False,False,android,not_applicable
exu_6fbfdd7f2e0b493c,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,0,android,
exu_af30f95fc7764146,reels_density_q2_2026, control  ,2026-04-01,server_hash,0,False,ios,granted
exu_f39d0de34fa04ade,reels_density_q2_2026, treatment  ,2026-04-01,server_hash,FALSE,N,ios,granted
exu_335cca32e20749f4,reels_density_q2_2026,Treatment,2026-04-01,server_hash,False,False,android,not_applicable
exu_16c3c1138f474843,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,FALSE,ios,granted
exu_e305bfe414754ba4,reels_density_q2_2026,control,2026-04-01,server_hash,False,False,ios,granted
exu_8d5a60a358074705,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,no,ios,granted
exu_ff79dfc20929458f,reels_density_q2_2026,treatment,2026-04-01,server_hash,no,true,ios,granted
exu_27cc05bdadc24849,reels_density_q2_2026,treatment,2026-04-01,server_hash,no,0,android,
exu_2116d2f10c9a4cc3,reels_density_q2_2026, treatment  ,2026-04-01,server_hash,False,false,ios,granted
exu_95899f9654de45e1,reels_density_q2_2026, treatment  ,2026-04-01,server_hash,no,True,android,not_applicable
exu_a793ca31c3bc4a78,reels_density_q2_2026,control,2026-04-01,server_hash,False,True,ios,granted
exu_f5780f6cbb684c6f,reels_density_q2_2026,TREATMENT,2026-04-01,server_hash,N,True,android,not_applicable
exu_213232d1ba32423d,reels_density_q2_2026,treatment,2026-04-01,server_hash,false,True,ios,granted
exu_90886775ac7f4642,reels_density_q2_2026,control,2026-04-01,server_hash,False,0,android,
exu_97e1563693974a13,reels_density_q2_2026,control,2026-04-01,server_hash,N,False,android,not_applicable
exu_48713df9a36f4792,reels_density_q2_2026, control  ,2026-04-01,session_hash_fallback,True,True,android,
exu_6f204dd52a89421c,reels_density_q2_2026,treatment,2026-04-01,server_hash,no,True,ios,denied
exu_2bb0a3cf8c3d4fec,reels_density_q2_2026,control,2026-04-01,server_hash,no,True,ios,granted
exu_5f91a8a7105846d5,reels_density_q2_2026,control,2026-04-01,server_hash,False,true,android,
exu_df2c1a6fe0c248bb,reels_density_q2_2026,treatment,2026-04-01,session_hash_fallback,Y,FALSE,ios,granted
exu_02a93a92522f454b,reels_density_q2_2026,Control,2026-04-01,server_hash,N,False,android,
exu_690015941ca141e7,reels_density_q2_2026,control,2026-04-01,server_hash,False,True,ios,granted
exu_ebda45a13f794993,reels_density_q2_2026,control,2026-04-01,server_hash,False,yes,ios,granted
exu_6f84110a785b4656,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,False,android,
exu_2662f13d0cb54ed9,reels_density_q2_2026,Treatment,2026-04-01,server_hash,false,True,ios,granted
exu_d2b98f596dcb4e90,reels_density_q2_2026,control,2026-04-01,server_hash,false,yes,ios,granted
exu_913fcb6f6c14404c,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,True,ios,granted
exu_93fbc470fc594d67,reels_density_q2_2026,control,2026-04-01,server_hash,False,true,ios,granted
exu_2f8c2f189fee441f,reels_density_q2_2026,control,2026-04-01,session_hash_fallback,True,False,ios,granted
exu_e306a5d665d240d2,reels_density_q2_2026, control  ,2026-04-01,server_hash,FALSE,True,ios,granted
exu_7d61c56047eb4953,reels_density_q2_2026, control  ,2026-04-01,session_hash_fallback,TRUE,True,android,
exu_540bc3a28c7f4fcf,reels_density_q2_2026,control,2026-04-01,server_hash,no,True,android,
exu_e0719e0810c2444d,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,yes,android,
exu_81a12dac290948ed,reels_density_q2_2026,CONTROL,2026-04-01,server_hash,False,true,ios,granted
exu_7f8479fe5aa8451a,reels_density_q2_2026,control,2026-04-01,server_hash,0,false,android,
exu_ed4e9e84e1a74398,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,True,android,
exu_8896f634cd484288,reels_density_q2_2026,CONTROL,2026-04-01,server_hash,False,true,ios,granted
exu_6b19fcc726c64a59,reels_density_q2_2026,control,2026-04-01,server_hash,False,False,ios,granted
exu_e5ac04f20bf242d6,reels_density_q2_2026,Control,2026-04-01,server_hash,false,Y,android,not_applicable
exu_aa0f974a423d4408,reels_density_q2_2026,control,2026-04-01,server_hash,false,True,android,
exu_7fb48bc60049427f,reels_density_q2_2026,control,2026-04-01,server_hash,False,True,ios,granted
exu_19d473afd2b14b18,reels_density_q2_2026, treatment  ,2026-04-01,server_hash,false,yes,ios,granted
exu_2d8e0e6075084c27,reels_density_q2_2026,Treatment,2026-04-01,server_hash,FALSE,True,ios,granted
exu_460fe0a86c6b4533,reels_density_q2_2026,control,2026-04-01,session_hash_fallback,True,N,android,not_applicable
exu_93138ec229804f29,reels_density_q2_2026, treatment  ,2026-04-01,server_hash,False,True,android,
exu_d4fd05e08fc348cd,reels_density_q2_2026,Control,2026-04-01,server_hash,0,TRUE,ios,granted
exu_6b755f2c48814460,reels_density_q2_2026,treatment,2026-04-01,server_hash,false,True,ios,granted
exu_f198e0f2db5240f9,reels_density_q2_2026,TREATMENT,2026-04-01,server_hash,False,true,android,
exu_4dd21e33450e4bf4,reels_density_q2_2026,control,2026-04-01,server_hash,0,true,ios,granted
exu_4451dbd883d94a71,reels_density_q2_2026, control  ,2026-04-01,server_hash,no,false,android,
exu_1afb12ec40804101,reels_density_q2_2026,Treatment,2026-04-01,server_hash,false,False,android,not_applicable
exu_140833e4a89e4a38,reels_density_q2_2026, treatment  ,2026-04-01,server_hash,False,True,android,
exu_e1c9bb1a2930474c,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,False,android,
exu_970d9d66698b481d,reels_density_q2_2026,control,2026-04-01,server_hash,False,true,ios,granted
exu_44750ff35fc24c65,reels_density_q2_2026,treatment,2026-04-01,server_hash,0,False,ios,granted
exu_45c1d1a39cee40b2,reels_density_q2_2026, treatment  ,2026-04-01,server_hash,False,True,android,not_applicable
exu_7494b7fdfa074929,reels_density_q2_2026,Control,2026-04-01,server_hash,0,True,ios,granted
exu_b8b54379f3aa4f70,reels_density_q2_2026, treatment  ,2026-04-01,server_hash,false,false,android,
exu_c35b04ebfd5440f5,reels_density_q2_2026,control,2026-04-01,server_hash,0,False,ios,denied
exu_5c838edf23f1410c,reels_density_q2_2026,control,2026-04-01,server_hash,N,False,android,
exu_52b5a40df88a4fab,reels_density_q2_2026,control,2026-04-01,server_hash,0,Y,ios,granted
exu_6816ebae8e064558,reels_density_q2_2026,treatment,2026-04-01,server_hash,N,True,android,
exu_f58b6e5da3ac4365,reels_density_q2_2026,control,2026-04-01,server_hash,False,True,ios,granted
exu_da52a20126c84aeb,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,Y,ios,granted
exu_91638e9f16af45dc,reels_density_q2_2026,control,2026-04-01,server_hash,0,true,android,not_applicable
exu_996a3a7afc924cd7,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,True,android,not_applicable
exu_49531ca73cb64c5c,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,true,ios,granted
exu_7055d8f4a3694a94,reels_density_q2_2026,TREATMENT,2026-04-01,server_hash,False,True,android,
exu_f04ac00bd47e4e41,reels_density_q2_2026, TREATMENT  ,2026-04-01,server_hash,False,FALSE,ios,denied
exu_666f1b4577b84dae,reels_density_q2_2026,TREATMENT,2026-04-01,server_hash,False,yes,android,not_applicable
exu_b72bffdc04de44fe,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,False,ios,granted
exu_de086edca06948a1,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,True,android,
exu_efb8fda39b954c0a,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,True,ios,granted
exu_656d5cf9a91a4846,reels_density_q2_2026,treatment,2026-04-01,server_hash,FALSE,TRUE,android,
exu_ba3fa21c40c949fb,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,Y,ios,granted
exu_509267394ada447b,reels_density_q2_2026,control,2026-04-01,server_hash,N,False,android,
exu_c317d066cf804ad8,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,FALSE,ios,granted
exu_bf594ac73ea540f7,reels_density_q2_2026,control,2026-04-01,session_hash_fallback,true,False,ios,granted
exu_4fce23c57ca9428a,reels_density_q2_2026, control  ,2026-04-01,server_hash,False,1,ios,granted
exu_390f781c86ac4bc7,reels_density_q2_2026,TREATMENT,2026-04-01,server_hash,false,True,android,not_applicable
exu_ba1975f78e7d44d8,reels_density_q2_2026,TREATMENT,2026-04-01,server_hash,no,False,android,
exu_e78fa65e3bb2455d,reels_density_q2_2026, treatment  ,2026-04-01,server_hash,False,Y,android,
exu_2475662a53b9426c,reels_density_q2_2026, control  ,2026-04-01,server_hash,False,True,android,
exu_69f6d77ea0ca421d,reels_density_q2_2026,CONTROL,2026-04-01,server_hash,false,True,ios,granted
exu_935dd01ef07a4c0d,reels_density_q2_2026,treatment,2026-04-01,server_hash,false,True,ios,granted
exu_652cda85e8b946eb,reels_density_q2_2026,CONTROL,2026-04-01,server_hash,0,false,ios,granted
exu_7a7d10da6d674927,reels_density_q2_2026,Control,2026-04-01,server_hash,False,False,android,not_applicable
exu_6ab68705ff734110,reels_density_q2_2026,control,2026-04-01,server_hash,False,True,ios,granted
exu_bd7dba84cdda4528,reels_density_q2_2026,Treatment,2026-04-01,server_hash,FALSE,False,android,
exu_ca604e1d60424998,reels_density_q2_2026,control,2026-04-01,server_hash,False,Y,ios,granted
exu_e91715799c1545a0,reels_density_q2_2026,control,2026-04-01,server_hash,N,False,android,
exu_744c241aadcc492d,reels_density_q2_2026,control,2026-04-01,server_hash,False,1,ios,granted
exu_3b74b7a4faa64e70,reels_density_q2_2026, TREATMENT  ,2026-04-01,server_hash,N,true,android,not_applicable
exu_d1cfdc93f24e4eb3,reels_density_q2_2026,control,2026-04-01,server_hash,N,Y,ios,granted
exu_9a2ad3181e3f403f,reels_density_q2_2026,control,2026-04-01,server_hash,N,1,ios,denied
exu_af9f849f8a224959,reels_density_q2_2026,treatment,2026-04-01,server_hash,FALSE,TRUE,android,not_applicable
exu_e4a85740803a4326,reels_density_q2_2026,control,2026-04-01,server_hash,False,yes,android,not_applicable
exu_a1ab095252c04c79,reels_density_q2_2026,control,2026-04-01,server_hash,N,False,ios,granted
exu_f7dd967e22e649ad,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,False,ios,granted
exu_a372d462168f49a8,reels_density_q2_2026,control,2026-04-01,server_hash,FALSE,N,ios,granted
exu_5f282f90de6c493e,reels_density_q2_2026,control,2026-04-01,server_hash,false,Y,android,
exu_1f5aa11ab0cc4048,reels_density_q2_2026,control,2026-04-01,server_hash,0,yes,android,
exu_5a0102b7d7bd4bee,reels_density_q2_2026,Control,2026-04-01,server_hash,False,True,android,
exu_5f9ee506a3f44d92,reels_density_q2_2026,control,2026-04-01,server_hash,0,True,android,
exu_99f225924cee499f,reels_density_q2_2026,CONTROL,2026-04-01,session_hash_fallback,True,1,ios,granted
exu_1179d4156a044d4f,reels_density_q2_2026,treatment,2026-04-01,server_hash,no,True,android,
exu_e9fd9121c3014796,reels_density_q2_2026,treatment,2026-04-01,server_hash,FALSE,False,ios,granted
exu_9be89487c4a94206,reels_density_q2_2026,treatment,2026-04-01,server_hash,no,False,ios,granted
exu_42174ceaff924a09,reels_density_q2_2026,control,2026-04-01,server_hash,False,0,ios,granted
exu_87a4c655f33c409d,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,False,android,not_applicable
exu_cf04412bde884ef1,reels_density_q2_2026,control,2026-04-01,server_hash,False,N,android,
exu_9cd72f03a672448c,reels_density_q2_2026,control,2026-04-01,server_hash,N,yes,ios,granted
exu_02954faffe8c458d,reels_density_q2_2026,treatment,2026-04-01,server_hash,0,TRUE,android,not_applicable
exu_cd5a3fb533514b9f,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,False,ios,granted
exu_dc225c72e5f14982,reels_density_q2_2026,control,2026-04-01,server_hash,False,true,ios,granted
exu_a0d9633973814e97,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,True,ios,granted
exu_2fd4457afc72427b,reels_density_q2_2026,control,2026-04-01,server_hash,0,True,android,
exu_bd59ed7633d94c3c,reels_density_q2_2026,CONTROL,2026-04-01,server_hash,N,yes,ios,granted
exu_96e21303dea7463f,reels_density_q2_2026,control,2026-04-01,server_hash,False,False,ios,granted
exu_867da593315d448e,reels_density_q2_2026,control,2026-04-01,server_hash,False,True,android,
exu_e19c8e835afe4e69,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,false,ios,granted
exu_6b270b553abb4463,reels_density_q2_2026, treatment  ,2026-04-01,server_hash,0,False,android,not_applicable
exu_4975d3959f214cfe,reels_density_q2_2026,CONTROL,2026-04-01,server_hash,no,False,android,
exu_fee05592f9f5439b,reels_density_q2_2026,treatment,2026-04-01,server_hash,N,TRUE,android,
exu_d94513e39fed4bc1,reels_density_q2_2026,treatment,2026-04-01,server_hash,false,no,ios,granted
exu_709c5f6764124bc8,reels_density_q2_2026,control,2026-04-01,server_hash,FALSE,False,android,
exu_010d944548c043fd,reels_density_q2_2026,Treatment,2026-04-01,server_hash,0,True,android,
exu_ba56055b10584339,reels_density_q2_2026,control,2026-04-01,server_hash,False,True,android,
exu_ce1a432beccc4f90,reels_density_q2_2026,control,2026-04-01,server_hash,no,1,ios,granted
exu_1e064073deb747a5,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,True,android,not_applicable
exu_184cd90c83444b0c,reels_density_q2_2026,control,2026-04-01,server_hash,False,N,ios,granted
exu_0435f302e48746f1,reels_density_q2_2026,Treatment,2026-04-01,server_hash,False,TRUE,android,not_applicable
exu_f087041906db45e6,reels_density_q2_2026,control,2026-04-01,server_hash,FALSE,false,ios,granted
exu_57473b6a6e3d4668,reels_density_q2_2026, control  ,2026-04-01,server_hash,False,N,ios,granted
exu_a906f8a2709d45d1,reels_density_q2_2026, TREATMENT  ,2026-04-01,server_hash,0,1,android,not_applicable
exu_ee36e1a467ea4610,reels_density_q2_2026,treatment,2026-04-01,server_hash,FALSE,no,android,
exu_bf659d5e7d8c4efe,reels_density_q2_2026,control,2026-04-01,server_hash,False,TRUE,ios,granted
exu_be993fd5882f4366,reels_density_q2_2026,control,2026-04-01,server_hash,false,true,android,
exu_eab1369ac69849ef,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,yes,ios,denied
exu_6e523f3d90134cfc,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,False,ios,granted
exu_c43448af3f6f4d89,reels_density_q2_2026,control,2026-04-01,server_hash,False,yes,android,
exu_7fd50e8f5c79453e,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,True,ios,granted
exu_2eee2bddda3a4371,reels_density_q2_2026,treatment,2026-04-01,server_hash,0,False,android,not_applicable
exu_530f588a18a54a0f,reels_density_q2_2026,control,2026-04-01,server_hash,False,False,android,not_applicable
exu_699eb550c9c1441f,reels_density_q2_2026, treatment  ,2026-04-01,server_hash,0,False,android,
exu_fdb25ebf2cfb4bb1,reels_density_q2_2026,CONTROL,2026-04-01,server_hash,False,false,ios,granted
exu_0bb7255c90b24c17,reels_density_q2_2026,control,2026-04-01,server_hash,false,false,ios,denied
exu_19739c7e714b4f43,reels_density_q2_2026,CONTROL,2026-04-01,server_hash,False,True,android,
exu_2e4109a5821e4dd9,reels_density_q2_2026,treatment,2026-04-01,server_hash,0,Y,ios,granted
exu_c59e78b04fa24c1e,reels_density_q2_2026,control,2026-04-01,server_hash,False,0,android,
exu_f429efc7594a44f7,reels_density_q2_2026,control,2026-04-01,server_hash,0,True,ios,granted
exu_50980b0feea74909,reels_density_q2_2026, treatment  ,2026-04-01,server_hash,false,1,ios,granted
exu_4deb5708c6884cfb,reels_density_q2_2026,control,2026-04-01,server_hash,N,1,android,
exu_fb152b5f4f334c7b,reels_density_q2_2026,control,2026-04-01,server_hash,False,false,android,
exu_4ad54d39190f4eb4,reels_density_q2_2026,treatment,2026-04-01,server_hash,false,True,ios,granted
exu_471f02a4ffdb4ce2,reels_density_q2_2026,control,2026-04-01,server_hash,N,False,ios,granted
exu_332d3e60a15b4e1a,reels_density_q2_2026,treatment,2026-04-01,server_hash,N,FALSE,ios,granted
exu_e6ae672c90f84a12,reels_density_q2_2026,control,2026-04-01,server_hash,False,TRUE,ios,granted
exu_8ec71f919e4e4052,reels_density_q2_2026,treatment,2026-04-01,server_hash,0,1,android,not_applicable
exu_0a892fb19d044b06,reels_density_q2_2026,control,2026-04-01,server_hash,False,true,android,
exu_ff80cf7440604034,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,no,ios,granted
exu_42f5ccb90301489d,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,true,ios,granted
exu_8515fea124cd4146,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,Y,android,not_applicable
exu_764bacdc91b8462c,reels_density_q2_2026,treatment,2026-04-01,session_hash_fallback,True,0,ios,granted
exu_0f827e7864db45f7,reels_density_q2_2026,control,2026-04-01,server_hash,FALSE,False,android,
exu_2bb1dc1d9f264da6,reels_density_q2_2026,treatment,2026-04-01,server_hash,FALSE,False,android,
exu_cc16e77c622541ce,reels_density_q2_2026,control,2026-04-01,session_hash_fallback,True,FALSE,android,
exu_ea98fd9a2e674a20,reels_density_q2_2026, CONTROL  ,2026-04-01,server_hash,N,True,android,
exu_51691361dd084655,reels_density_q2_2026,treatment,2026-04-01,server_hash,N,1,ios,granted
exu_5dc0771980ff4140,reels_density_q2_2026,treatment,2026-04-01,server_hash,no,TRUE,ios,granted
exu_f650ed3b08d64fe3,reels_density_q2_2026,Control,2026-04-01,server_hash,False,True,ios,granted
exu_8a1c94e1eca44b2b,reels_density_q2_2026,treatment,2026-04-01,server_hash,N,1,ios,granted
exu_dc3bde6f5e5541af,reels_density_q2_2026,treatment,2026-04-01,server_hash,0,False,android,
exu_08057b21c6544443,reels_density_q2_2026,control,2026-04-01,session_hash_fallback,Y,False,android,
exu_a99eb993d8cf4953,reels_density_q2_2026, control  ,2026-04-01,server_hash,False,True,ios,granted
exu_09fb25f989644e06,reels_density_q2_2026,Treatment,2026-04-01,server_hash,N,yes,ios,granted
exu_1a082050c8094c9e,reels_density_q2_2026,treatment,2026-04-01,server_hash,N,True,ios,denied
exu_54164c1f22154af6,reels_density_q2_2026,control,2026-04-01,server_hash,no,Y,ios,granted
exu_f7208ab78db542c8,reels_density_q2_2026,treatment,2026-04-01,server_hash,false,false,android,not_applicable
exu_2fd7caaa793740a9,reels_density_q2_2026,treatment,2026-04-01,server_hash,FALSE,1,android,
exu_fedc6be465f44a93,reels_density_q2_2026,TREATMENT,2026-04-01,server_hash,False,TRUE,ios,granted
exu_b5461fded6bd473b,reels_density_q2_2026,treatment,2026-04-01,server_hash,FALSE,True,android,not_applicable
exu_1498de15e1bb4e03,reels_density_q2_2026,TREATMENT,2026-04-01,server_hash,False,true,ios,granted
exu_0b73f4b8da944245,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,True,ios,granted
exu_f6f06df4b3aa43ea,reels_density_q2_2026,control,2026-04-01,server_hash,no,true,ios,granted
exu_172e8aba2a474c7e,reels_density_q2_2026,treatment,2026-04-01,server_hash,no,N,android,
exu_bd7ee246b7eb40ff,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,false,android,not_applicable
exu_4a504e93e0df4d89,reels_density_q2_2026,treatment,2026-04-01,server_hash,FALSE,True,ios,granted
exu_d043e9f375e54747,reels_density_q2_2026,control,2026-04-01,server_hash,False,True,ios,denied
exu_18979b0c15534ac1,reels_density_q2_2026,CONTROL,2026-04-01,server_hash,no,true,ios,granted
exu_5c46153dfd2a4c03,reels_density_q2_2026, control  ,2026-04-01,server_hash,0,0,android,
exu_09b8be4d642749f6,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,False,ios,granted
exu_3e81bfff889e485d,reels_density_q2_2026,treatment,2026-04-01,server_hash,no,TRUE,android,not_applicable
exu_9d2be36e4ffc4fc1,reels_density_q2_2026, control  ,2026-04-01,server_hash,False,True,ios,granted
exu_69c8ab2ec3874065,reels_density_q2_2026,CONTROL,2026-04-01,server_hash,False,TRUE,android,
exu_89f8b16c9ded4386,reels_density_q2_2026,control,2026-04-01,server_hash,False,True,ios,granted
exu_5ab1d36fd75c4da1,reels_density_q2_2026,treatment,2026-04-01,server_hash,0,True,ios,granted
exu_be9828267be6432f,reels_density_q2_2026,treatment,2026-04-01,server_hash,False,true,android,not_applicable
exu_170198ec83b343e7,reels_density_q2_2026, treatment  ,2026-04-01,server_hash,N,True,ios,granted
exu_9fd9723cf46442e6,reels_density_q2_2026,control,2026-04-01,server_hash,False,yes,ios,granted
